user_id,segment,ab_group,drop,activacion,setup,habito_calc
MLB10589794890,1,treatment,0,1,1,0
MLB2209858060,1,treatment,0,1,1,0
MLB10508251450,1,treatment,0,1,1,0
MLB6823935650,1,treatment,0,1,1,0
MLB4828629020,1,treatment,0,1,1,0
MLB10523125720,1,treatment,0,1,1,0
MLB4828629020,1,treatment,0,1,1,0
MLB410524272840,2,treatment,0,1,1,1
MLB6266191450,1,treatment,0,1,1,0
MLB8061255110,1,control,0,1,1,0
MLB7942392680,1,treatment,0,1,1,0
MLB1313586300,1,treatment,0,1,0,0
MLB2046839440,1,treatment,0,1,0,0
MLB1313586300,1,treatment,0,1,0,0
MLB10634661670,1,treatment,0,1,1,0
MLB10595083370,1,treatment,0,1,0,0
MLB46173001750,2,treatment,0,1,0,1
MLB4516912220,2,treatment,0,1,1,1
MLB6282662130,1,treatment,0,1,1,0
MLB6362154740,1,treatment,0,1,1,0
MLB10656199760,1,treatment,0,1,1,0
MLB10609640700,1,treatment,0,1,1,0
MLB10628039270,1,treatment,0,1,1,0
MLB8300997160,1,treatment,0,1,1,0
MLB8300997160,1,treatment,0,1,1,0
MLB410576474220,2,treatment,0,1,1,1
MLB6079935800,1,treatment,0,1,1,0
MLB10575273520,1,treatment,0,1,1,0
MLB8404322380-1,1,treatment,0,1,1,0
MLB10613812040,1,treatment,0,1,1,0
MLB8300997160,1,control,0,1,1,0
MLB8300997160,1,control,0,1,1,0
MLB10635942760,1,treatment,0,1,0,0
MLB10539252300,1,treatment,0,1,1,0
MLB8168132600-1,1,treatment,0,1,0,0
MLB10642965750,1,treatment,0,1,1,0
MLB10589857660-1,1,treatment,0,1,1,0
MLB1611317540,1,treatment,0,1,0,0
MLB5144865450,1,treatment,0,1,0,0
MLB6158351350,1,treatment,0,1,1,0
MLB410635942722,2,treatment,0,1,0,1
MLB1367493660,1,treatment,0,1,1,0
MLB10477205600,1,treatment,0,1,1,0
MLB10086396820,1,treatment,0,1,1,0
MLB1930664270,1,treatment,0,1,1,0
MLB410645693220,2,treatment,0,1,1,1
MLB410614823522,2,treatment,0,1,1,1
MLB10589300770,1,treatment,0,1,1,0
MLB10570510840,1,control,0,1,1,0
MLB10664921980,1,treatment,0,1,1,0
MLB10596492420,1,treatment,0,1,1,0
MLB588925550,1,treatment,0,1,1,0
MLB2935061670-1,1,treatment,0,1,1,0
